Date,JSE,ANGLOGOLD,GOLDFIELDS,DRDGOLD,HARMONY,ANGLOAMER,IMPALA,NORTHAM
2020-01-02,0.011043291,0.003878724,-0.019698325,0.019802627,0.00778214,0.01610876,-0.001534063,-0.000161799
2020-01-03,0.001592861,0.056206769,0.022718689,0.065763261,0.069251236,0.010869835,0.035173132,0.031144248
2020-01-06,-0.01068917,-0.003397613,0.007356403,0.020594307,-0.001447702,0.003062881,-0.015137919,-0.004874223
2020-01-07,0.003299888,-0.038838651,-0.025616958,0.001198322,-0.008182608,-0.012849422,-0.008241805,0.001417546
2020-01-08,-0.001082413,-0.018323275,-0.010326381,-0.042819997,-0.014343755,0.039372523,0.053050371,0.055859073
2020-01-09,-0.003383984,-0.030816112,-0.044194001,-0.013845407,-0.02722406,-0.038500723,-0.017084285,-0.010097696
2020-01-10,0.006215169,0.006952143,-0.01226595,0.049453834,-0.009754309,0.011041911,-0.007814366,-0.000375954
2020-01-13,0.001527584,-0.003307611,0.000113218,0.054003731,-0.001538758,0.013123606,-0.010921702,0.011068844
2020-01-14,0.006827109,-0.040974939,-0.011271253,-0.006880761,-0.038258712,-0.013822247,-0.018817484,-0.016952101
2020-01-15,0.001662664,0.004423217,0.004797268,0.014848931,0.00079968,0.005190965,0.004479831,0.018364268
2020-01-16,0.002646177,-0.001854694,0.014367576,-0.004545462,0.01014026,0.018968366,0.030609107,0.035460051
2020-01-17,0.013384174,0.008603649,0.004035428,0.010198389,0.010821552,-0.013068644,0.030670603,0.012325166
2020-01-20,-0.002570338,0.020404139,0.039268041,-0.028589712,0.02416744,0.017182416,0.025290319,0.013223798
2020-01-21,-0.014962772,-0.02985197,-0.02152725,-0.017554576,-0.036770994,-0.098081495,-0.092017379,-0.088263582
2020-01-22,-0.000992448,-0.006881266,0.000878831,0.038221213,0.003560835,-0.00595723,0.005516114,0.003656868
2020-01-23,-0.017841923,0.003192287,0.006348533,0.020248161,0.007083855,-0.038306834,-0.03862404,-0.050773118
2020-01-24,0.0064188,-0.00513301,-0.002622093,0.002224695,0,-0.006462504,-0.03209919,-0.020530951
2020-01-27,-0.024003315,0.045307862,0.024423086,0,0.02383141,-0.041826536,-0.036220054,-0.060165356
2020-01-28,-0.002771132,-0.036046809,-0.036197637,-0.031605339,-0.059153849,0.000970293,0.029852963,0.010182157
2020-01-29,0.011103857,-0.030130298,-0.015955708,0.013667639,-0.036194624,0.027966019,0.032085187,0.03757497
2020-01-30,0.003898851,0.034745665,0.069195303,0.042088161,0.042875487,0.033206323,0.03748189,0.033499067
2020-01-31,-0.009077687,0.020822306,0.026002397,0.032019811,0.025302675,-0.014270348,-0.019871911,0.005024936
2020-02-03,-0.004486728,-0.022369617,-0.011105513,-0.052842481,-0.034831383,-0.019811464,0,-0.010075249
2020-02-04,0.017551971,-0.024260134,-0.038042625,-0.065203194,-0.037567975,0.063223848,0.067427454,0.043868062
2020-02-05,0.010664366,-0.011900565,-0.014061887,0.023365549,-0.004239091,-0.014796976,-0.007426597,-0.020044176
2020-02-06,0.001831979,0.003449421,0.032789823,0.026212327,-0.029749984,-0.032290347,-0.034808498,-0.004010228
2020-02-07,-0.004442207,0.032576616,0.084169829,0.04185633,0.013043663,-0.013096854,0.011238383,-0.024808834
2020-02-10,-0.007513953,-0.00794339,-0.034305976,0.019231362,-0.0224974,0.016196388,0.008481815,0.015865717
2020-02-11,0.002344924,-0.029829311,-0.033863511,-0.01492565,-0.079748222,0.00338097,0.017082981,0.018899688
2020-02-12,0.013300486,-0.007510388,-0.035910501,-0.022814678,0.035948896,0.01236843,0.005299781,0.008621747
2020-02-13,0.001584187,0.02408497,0.006752075,0.009841523,0.003915702,0.030056775,0.052009919,0.03920584
2020-02-14,0.000450831,0.018872341,0.01041344,0.033175862,0.070554869,0.005173844,0.031609521,-0.004397249
2020-02-17,0.005621571,-0.012462173,-0.017057983,0.025975486,0.015939132,0.052862007,0.018186699,0.044698546
2020-02-18,-0.008167075,0.019959392,0.036217863,0.015267472,0.030726935,-0.016786856,-0.023915627,-0.015258681
2020-02-19,0.003913347,0.051026981,0.094621738,0.0588405,0.088764763,0.065004349,0.043593043,0.07635378
2020-02-20,-0.002556381,0.009503065,0.006675781,0.033711057,0.035291293,-0.025904217,-0.035133116,-0.014893316
2020-02-21,-0.007935819,0.063544932,0.062656656,0.020055367,0.068571375,0.018504207,-0.007726744,0.005373614
2020-02-24,-0.043754953,0.014684552,0.042900635,0.031974305,0.133952889,-0.08857171,-0.087050244,-0.08424618
2020-02-25,-0.001313872,-0.055136792,-0.046251018,0.008703275,-0.063948725,-0.003207106,0.007434978,0.002358839
2020-02-26,0.004327462,-0.008663421,-0.024948761,-0.057056472,0.00015722,-0.007074518,-0.048790164,-0.038808488
2020-02-27,-0.029541092,0.008909847,0.00595831,0.053584246,0.004548671,-0.042608117,-0.017584256,-0.01581518
2020-02-28,-0.046076123,-0.156046649,-0.18625367,-0.126845717,-0.140035845,-0.138273839,-0.126719233,-0.145286506
2020-03-02,0.015589811,0.019924741,0.035053927,0.023415704,-0.002523433,0.044235871,0.024956732,0.019501085
2020-03-03,0.02133253,0.07188723,0.042934723,0.025703462,0.025304272,0.058895569,0.026484967,0.019819918
2020-03-04,-0.000587243,0.042911245,0.049888095,0.073369246,0.055945486,-0.038183632,0.010159299,0.01867132
2020-03-05,0.000179666,0.034541102,0.02599506,0.018174451,0.010757241,-0.010460563,-0.058797071,0.002542374
2020-03-06,-0.01660118,0.016997576,0.03328155,0.015319449,0.029838439,-0.154521457,0.120446153,0.133319775
2020-03-09,-0.064356521,-0.016967182,-0.023843153,-0.022204157,-0.009148607,-0.027212564,-0.162602371,-0.165923411
2020-03-10,0.013154717,-0.099733187,-0.056649296,-0.10651259,-0.071333564,-0.065478745,0.009633026,-0.029280772
2020-03-11,-0.007954572,0.026118414,0.028346842,0.00765554,0.015123162,0.042843221,0.017206488,0.01030152
2020-03-12,-0.10226799,-0.111537449,-0.167407276,-0.154309574,-0.174337143,-0.226459972,-0.245944169,-0.266024819
2020-03-13,-0.002844678,-0.027063746,-0.116020477,-0.167964601,-0.102319459,0.04107236,0.030790547,0.034738411
2020-03-16,-0.086910673,-0.092581849,-0.068588641,-0.061035891,-0.103462982,-0.123413006,-0.207104835,-0.207432046
2020-03-17,0.026301288,0.224453655,0.162983593,0.178818926,0.114646279,-0.050400124,-0.063696249,-0.024623516
2020-03-18,-0.074230248,-0.057551798,-0.020466691,0.028820439,-0.092201139,-0.275336042,-0.273519759,-0.189371848
2020-03-19,-0.016766429,-0.109894614,-0.228267638,-0.050097837,-0.198450939,-0.076313539,-0.000694686,-0.042485194
2020-03-20,0.059043925,0.026514522,0.129634186,0.083620529,0.100380856,0.150152491,0.032307741,0.04811805
2020-03-23,-0.051063058,0.051152974,0.032723275,0.068992871,0.007504726,0.078238406,-0.068752602,-0.065957968
2020-03-24,0.072614999,0.131294981,0.129170137,0.092976456,0.074336823,0.095163146,0.18621786,0.139761942
2020-03-25,0.050441837,0.134660368,0.155199743,0.033995005,0.129774966,0.203482861,0.160752488,0.188625754
2020-03-26,0.040041991,0.073174487,0.067702524,0.051067433,0.055475696,-0.029517746,0.02887109,0.014815086
2020-03-27,-0.047729354,-0.154732657,-0.166097269,-0.094452179,-0.14135951,9.61017E-05,-0.064654011,-0.094923258
2020-03-30,0.010810611,0.01306819,0.034219225,0.059514128,0.00803407,-0.013252732,-0.00224645,-0.044967692
2020-03-31,0.024498196,-0.057894566,-0.079142032,-0.094066509,-0.07170306,0.048005524,0.001982423,0.029385931
2020-04-01,-0.017181252,-0.070356968,-0.049879834,-0.08559193,-0.053224761,-0.000729525,-0.07881118,-0.013781316
2020-04-02,0.029920087,0.104519628,0.102234551,0.11920047,0.089231134,0.027974035,0.094400675,0.0497218
2020-04-03,-0.010305761,0.050663175,0.037046881,0.037985113,-0.01697249,-0.024662291,0.013812909,-0.038392703
2020-04-06,0.036148307,0.029053337,0.052976546,0.142130676,0.069935122,0.148918785,0.109199292,0.09315461
2020-04-07,0.026807862,0.013195552,0.01677579,-0.015097625,0.02895449,0.026670646,0.139062047,0.075619986
2020-04-08,-0.017133003,-0.029547763,-0.033073289,-0.045034216,0.011173301,-0.078050308,-0.041142944,-0.04695581
2020-04-09,0.027913954,0.07813421,0.07541723,0.077333203,0.049001782,0.052154238,0.077674893,0.046223567
2020-04-14,0.038068243,0.167605997,0.178282582,0.205311075,0.215411664,0.086437147,0.19016599,0.14562076
2020-04-15,-0.032051789,-0.04429716,-0.048289956,0.010675141,-0.069943755,-0.027206658,-0.076527393,-0.095732433
2020-04-16,-0.001163586,-0.011475976,-0.02019477,0.017951581,0.008017536,-0.034755631,-0.079512063,-0.017575145
2020-04-17,0.018270013,-0.031254409,-0.046300806,-0.047747763,-0.023876249,0.00926803,0.006502577,0.020474538
2020-04-20,-0.005820141,0.021261059,0.01894152,0.041593897,0.020968213,0,0.042686921,0.01892801
2020-04-21,-0.025305468,0.007168489,-0.001551211,-0.01242252,-0.008958831,-0.096279407,-0.146197297,-0.055488686
2020-04-22,0.010019581,0.085013469,0.087637594,0.042819997,0.060224823,0.04733456,0.038873085,0.045208755
2020-04-23,0.030568864,0.062609588,0.161013306,0.05815592,0.161264468,0.057025455,0.071189851,0.058203919
2020-04-24,-0.001504706,0.052687538,0.005718295,0.027856955,0.063019708,0.021017008,0.012432741,0.00356815
2020-04-28,0.010084615,-0.097570199,-0.088440772,-0.061174223,-0.084890698,-0.042195192,-0.082437991,-0.043005524
2020-04-29,0.016415454,-0.011402778,-0.020205532,0.004080449,0.019661044,0.091026091,0.117168974,0.09259202
2020-04-30,-0.010287858,-0.000150623,0.001623091,0.004063866,0.014932205,-0.005585837,-0.015564517,-0.051747491
2020-05-04,-0.023113805,0.027862985,0.056942938,0.03417189,0.068372704,-0.015750145,-0.056843899,-0.039155815
2020-05-05,-4.96082E-05,-0.048759819,-0.05497055,-0.018649877,-0.038596671,0.001465735,-0.028807198,-0.044272824
2020-05-06,0.013085529,0.045279732,0.033561358,0.012471817,-0.09460521,0.055726777,0.023415329,0.012966714
2020-05-07,0.003759781,-0.017840968,-0.00984758,-0.049071894,-0.049418268,-0.012456293,-0.004086875,-0.00034825
2020-05-08,0.019479098,0.041643464,0.045147722,0.061390079,0.071498282,-0.028812003,0.031221774,0.024882325
2020-05-11,-0.015824228,-0.033743166,-0.030683392,-0.054902294,-0.031425876,-0.055002211,-0.073831079,-0.087526284
2020-05-12,0.002319289,0.019721108,0.022835559,0.039763233,0.058800258,0.045279662,0.075767724,0.100018709
2020-05-13,-0.003331496,-0.028049076,0.001719918,0.010677258,-0.029651768,-0.009003971,-0.033634722,-0.05034601
2020-05-14,-0.020934404,0.042706647,0.023902398,0.029737874,0.048652632,-0.024318431,-0.044521062,-0.036045332
2020-05-15,0.010444711,0.034781036,0.01148516,0.019877098,0.0183623,0.076462101,0.09396892,0.069358614
2020-05-18,0.034719191,-0.006493465,-0.011227063,-0.011233068,0.002129926,0.088645533,0.090376224,0.113856743
2020-05-19,0.01099533,0.011193223,0.010205808,0.005899722,-0.025572432,0.034556827,0.047329359,0.041755569
2020-05-20,0.00370093,-0.047856794,-0.038870816,-0.030955499,-0.037964227,0.003547931,-0.02043657,-0.003511514
2020-05-21,-0.021713342,-0.083493033,-0.072189545,-0.088165329,-0.072063742,-0.009959054,-0.039733789,-0.029550985
2020-05-22,-0.017309127,0.028110342,0.019434554,0.032012218,0.024708461,-0.042751167,-0.049810322,-0.023626354
2020-05-25,-0.001456575,-0.044326669,-0.022364697,-0.002921416,-0.026659681,0.02980428,0.009918017,0.032144719
2020-05-26,0.010494877,-0.033337968,-0.053057775,-0.077850846,-0.057618078,-0.016577203,-0.025205845,-0.00389942
2020-05-27,-0.002108045,-0.030950942,-0.033771437,-0.023681107,-0.022316128,-0.004255945,-0.0233791,-0.009562708
2020-05-28,0.017533345,0.029793521,0.045700007,0.086795464,0.036185026,0.055084513,0.102560229,0.122100372
2020-05-29,-0.017789636,0.003279813,0.02219937,0.049807631,-0.024267605,-0.043622161,-0.031692645,-0.018886388
2020-06-01,0.008807248,0.003527341,-0.009674658,-0.042707009,0.01555779,-0.003004645,0.026465936,-0.00200895
2020-06-02,0.030309274,0.03716461,0.022790313,0.021004273,0,0.057153896,0.066605507,0.03264238
2020-06-03,0.02164032,-0.063325436,-0.090032933,-0.091851963,-0.118018913,-0.036175794,-0.022030789,-0.00656846
2020-06-04,-0.008245058,0.004591851,-0.008702587,0.004420595,0.0276024,0.005224894,-0.006624919,-0.020695358
2020-06-05,0.028124154,-0.076074912,-0.047598979,-0.055047888,-0.052618361,0.005819303,0.032539208,0.052769611
2020-06-08,-0.000695753,0.030033359,0.031175617,0.044914806,0.047724694,0.012264436,0.006413498,0.02965509
2020-06-09,-0.003679295,0.037054515,0.041532566,0.050274316,0.021835336,0.007295687,0.032434456,-0.013571246
2020-06-10,-0.014994535,-0.039670013,-0.023124683,-0.026373807,-0.051128136,-0.064698735,-0.111168616,-0.111385399
2020-06-11,-0.007054855,0.106938178,0.093578453,0.092537822,0.060681764,0.045462374,-0.012747573,0.030918262
2020-06-12,0.006440013,-0.032635964,-0.043542888,0.012946986,-0.01529279,0.006105558,0.016324501,-0.002578745
2020-06-15,-0.025861742,-0.044335939,-0.040171606,0.043770663,-0.047333743,-0.044451763,-0.053380106,-0.036914264
2020-06-17,0.033065091,0.033925175,0.045287862,0.074260912,0.00233327,0.022366183,0.020202707,0.009996751
2020-06-18,-0.001596575,-0.003573503,-0.002630097,0.023576731,0.013120003,0.024448004,-0.013829088,-0.000473776
2020-06-19,0.005236056,0.069991267,0.078617835,0.057077504,0.091171773,0.016322784,0.027215484,0.048108435
2020-06-22,0.00010622,0.037273551,0.031224721,0.057464037,0.020094215,-0.013161363,-0.020622816,-0.018322376
2020-06-23,0.022693815,0.058683502,0.062269043,0.076640323,0.056834422,0.089509616,0.053366192,0.070843351
2020-06-24,-0.018689868,-0.001406781,-0.013713261,0.012353215,-0.015511781,-0.042523516,-0.063446222,-0.061412342
2020-06-25,-0.009850047,-0.018142836,-0.015207204,-0.038349805,-0.027696131,0.016375094,0.018774614,0.029365016
2020-06-26,-0.004946177,-0.002296306,0.001824105,0.038349805,0.016276893,-0.012258168,-0.023150988,-0.005323881
2020-06-29,0.00915587,0.008868966,0.023542607,0.041882818,0.109314075,0.034310123,0.038376902,0.046924334
2020-06-30,0.004071198,0.028223434,0.030798629,0.023274324,0.069728699,-0.004296701,-0.02098516,-0.013675427
2020-07-01,-0.010627,-0.024628828,-0.022694241,-0.035886759,0.050074907,-0.029914824,-0.034734241,-0.043982463
2020-07-02,0.015303666,0.023936328,0.02312566,0.012612435,0.034347073,0.017623467,0.038949482,0.037420533
2020-07-03,-0.001746396,-0.017752241,-0.009534495,-0.012612435,0.016363656,-0.018461862,-0.014962441,0.010941311
2020-07-06,0.005931908,0.010102918,0.005583141,0.0254428,0.016966475,0.035462704,0.043731665,0.027799517
2020-07-07,0.007221755,0.044107443,0.046711207,0.019677635,0.053819788,0.054067221,0.038935154,0.028911343
2020-07-08,0.011283799,0.028316647,0.021724751,0.050189745,0.103260081,0.028156257,0.091327494,0.051131364
2020-07-09,-0.001482735,-0.01504631,0.01428227,-0.033419392,-0.002434508,-0.01433492,0.022803116,-0.007567019
2020-07-10,-0.006654534,-0.010145453,0.009804278,-0.014933805,0.048002596,-0.013821337,-0.009275637,0.002322522
2020-07-13,0.014004505,0.002508077,0.010658092,-0.06246117,0.009350091,0.022364579,-0.007686767,-0.002865221
2020-07-14,-0.011964647,-0.003288382,0.0190124,-0.064538521,0.00519015,0.007508065,0.019035833,-0.00131921
2020-07-15,0.007463205,-0.016606097,0.000820861,-0.060989272,-0.008096401,-0.010379663,0.043056479,0.005343672
2020-07-16,-0.003896796,0.029037314,0.021055688,0.05597673,0.0088925,-0.006977641,-0.021925698,0.015861794
2020-07-17,0.003266538,0.006242229,0.027523462,0.062494977,0.056749386,0.009569805,-0.005821106,0.028626908
2020-07-20,0.0063038,0.038995725,0.033258683,0.051745592,0.057523844,0.012599559,0.040256314,0.006113074
2020-07-21,0.002782564,-0.029584503,-0.014622519,-0.002618292,-0.033381539,-0.029315684,-0.016966305,-0.014272751
2020-07-22,-0.010474512,-0.003133433,0.0339902,-0.025413846,-0.040057761,0.033381658,0.013853567,-0.010708103
2020-07-23,0.004226272,0.038774217,0.017106164,0.009558475,0.062196208,0.043875157,0.041485956,0.051786284
2020-07-24,-0.007609667,0.030938915,0.020348491,0.027028672,0.044404944,-0.00792298,0.00777206,-0.006382466
2020-07-27,0.012156063,0.084596707,0.093099947,0.057569852,0.048504,0.014457215,0.030873315,0.069472373
2020-07-28,0.002870205,-0.006466314,-0.010949572,-0.007017573,-0.024418711,-0.023499058,0.012556888,-0.034133006
2020-07-29,0.003880537,-0.034962613,-0.01151441,-0.102235513,-0.052820396,-0.063460427,-0.04362377,-0.049248603
2020-07-30,-0.015332328,-0.02834862,-0.013265934,-0.000780336,-0.031862691,-0.019981798,-0.053547542,-0.034586008
2020-07-31,-0.002206753,-0.054838281,0.000629298,-0.005479466,0.003005056,-0.001869245,0.026800812,0.012084966
2020-08-03,0.00192916,-0.014709352,-0.003962184,-0.025036078,0.003177344,-0.015665108,0.018322627,0.001342082
2020-08-04,0.007486406,0.020192463,0.030304003,0.055950441,0.032722574,0.006622104,0.015048561,0.018748704
2020-08-05,0.024245141,0.03517663,0.074898601,0.076876478,0.091715209,0.047596378,0.056392451,0.035416552
2020-08-06,0.000473952,-0.026519031,0.010422652,-0.059150198,-0.040421914,-0.010278558,-0.015324333,-0.001271276
2020-08-07,-0.015714429,-0.040793853,-0.055016557,-0.045114684,-0.044213155,-0.025586961,-0.006171335,0.010544913
2020-08-11,0.007206817,-0.082232809,-0.108048607,-0.088683767,-0.101487219,-0.02621963,-0.019187489,-0.015859363
2020-08-12,0.00434663,-0.013966425,0.003305944,0.000854336,-0.011245877,0.008450677,0.05541805,0.059307278
2020-08-13,3.79669E-05,0.020477843,0.016553263,0.024463472,0.019598059,0.016835531,0.016519515,0.032346946
2020-08-14,-0.005973453,-0.010438718,-0.007915117,-0.005850414,-0.019110706,0.026274362,0.001056462,-0.001686888
2020-08-17,0.006245449,0.050081785,0.0428673,0.084738609,0.060590228,0.000700625,0.013575528,0.008406128
2020-08-18,-0.007162518,-0.015571667,-0.003229571,0.001539054,-0.00588724,-0.031316883,-0.026208518,-0.001933613
2020-08-19,-0.010433696,-0.041069775,-0.032789823,-0.052082776,-0.041537261,0.011610218,-0.006077959,0.011609764
2020-08-20,-0.014336793,0.003123228,-0.004746623,-0.008541846,-0.005883788,-0.058118153,-0.074489649,-0.042268526
2020-08-21,0.005734741,-0.017897387,-0.004722393,-0.022723556,-0.022699341,0.017745356,0.03268596,0.00979751
2020-08-24,0.012000998,-0.006411074,-0.007621414,0.00749379,0.011218382,0.010898797,0.039290222,0.051859669
2020-08-25,-0.00906839,-0.03035291,-0.02660826,-0.029036334,-0.047597022,-0.035821682,-0.053790963,-0.04418171
2020-08-26,0.008128971,0.038843907,0.042676813,0.034826259,0.030920924,0.00470193,-0.003991515,0.013892719
2020-08-27,0.005243753,-0.019485048,-0.021514287,0.0102565,-0.023558927,0.002757444,-0.0042625,-0.006403023
2020-08-28,-0.014391523,0.044533842,0.042074771,0.033316346,0.080606777,0.007867584,-0.004152697,0.006080619
2020-08-31,-0.010418158,-0.0075925,-0.002644057,-0.001185068,0.038804924,0.009833265,0.001087756,0.031674128
2020-09-01,0.008107129,-0.015709209,-0.036254377,-0.029685292,-0.052050151,-0.022414069,-0.033952273,-0.030127536
2020-09-02,-0.001177391,-0.027861711,-0.029785552,-0.062152662,-0.043802623,-0.022100618,0.026892816,0.004497277
2020-09-03,-0.024271506,-0.00752449,-0.004937316,0,0.00476475,-0.023573426,-0.016821309,-0.000641231
2020-09-04,-0.011871031,-0.014961804,-0.01436317,-0.030352011,-0.041242959,0.044249254,0.042382212,0.039307057
2020-09-07,0.009629439,0.027877483,0.026249514,0.026879785,0.049232349,0.053040404,0.023085108,0.002709862
2020-09-08,0.000708385,-0.006595538,0.011507385,-0.041728202,-0.034481005,-0.019691235,-0.038649132,0.006376087
2020-09-09,0.014090865,0.004661423,0.044108273,0.010372134,0.045909701,-0.010689644,-0.00204251,0.010759001
2020-09-10,0.013360664,0.03746205,0.014551664,0.051158696,0.029098531,0.040022106,0.063795481,0.068968687
2020-09-11,0.002389824,-0.009265453,-0.004388651,-0.019802627,-0.023481083,0.01438352,0.039665589,0.011947976
2020-09-14,0.004256027,0.011937466,0.058386965,0.01424587,-0.004646669,-0.015456959,0.013846199,0.017357132
2020-09-15,-0.003490556,-0.013452524,0.01608045,-0.040679127,0.036208224,-0.024364558,-0.033100495,0.026924911
2020-09-16,-0.003033952,-0.015819259,-0.010960985,-0.018018506,-0.046938987,0.00223753,-0.015985184,-0.005938863
2020-09-17,-0.016670307,-0.062442468,-0.065912514,-0.043192226,-0.087047042,-0.04711724,-0.05899966,-0.043038025
2020-09-18,-0.006598375,-0.01248567,-0.008215098,-0.052117954,-0.009244396,-0.004434307,0.004421711,-0.006181531
2020-09-21,-0.025087639,-0.013552791,-0.035639762,-0.03407398,-0.026703272,-0.0323313,-0.031760897,-0.037621091
2020-09-22,-0.001008591,-0.004284614,-0.032826233,-0.013541874,-0.001776199,-0.023703925,-0.069155539,-0.025490414
2020-09-23,0.018276976,-0.021282801,-0.017774945,0.010433063,-0.03643349,-0.021449084,0.001741493,0.014248058
2020-09-25,-0.012253885,0.021648165,0.001796766,0.036682666,0.020981385,0.020468653,0.007419512,-0.00456825
2020-09-28,0.020898606,0.000456517,0.007253969,-0.007532047,-0.000451467,0.036504665,0.014267339,0.018090709
2020-09-29,-0.003880412,0.015893115,0.036026355,0.037590974,0.038751666,0.007221813,0.007396132,0.015989218
2020-09-30,-0.004448218,-0.027599894,-0.029709714,-0.046196443,-0.032449597,-0.034171495,-0.016701707,-0.021846093
2020-10-01,0.003344997,0.0080717,0.011591356,0.009613026,0.008044736,-0.024404403,-0.01015658,-0.022334024
2020-10-02,-0.0041877,-0.009342421,-0.008693159,-0.031196598,-0.010965758,-0.002381668,-0.016383479,-0.003309169
2020-10-05,0.005606062,0.002655124,0.011606489,0.035718083,0.022142768,0.012767979,0.012974899,-0.002776103
2020-10-06,-0.005890503,-0.0090098,-0.010674957,-0.048790164,0.000550085,0.011392232,-0.003560089,0.011297518
2020-10-07,0.010021782,-0.012949636,-0.02717167,-0.002107482,-0.031167002,0.00925873,0.030983546,0.004114619
2020-10-08,-0.00356655,0.026514414,0.017520227,0.014659948,0.025099357,0.016358603,0.031432971,-0.005310433
2020-10-09,0.011447955,0.049982989,0.063687714,0.070239495,0.066148655,0.023213882,0.045653612,0.041369855
